,Bill,Title,title
195,HB 7738,Relating To Public Property And Works – Minority Business Enterprise,An Act Relating To Public Property And Works -- Minority Business Enterprise (Requires The Department Of Administration To Provide A List Of Certified Minority And Women-Owned Business Enterprises To Each Prospective Contractor Of A Construction Project.)
196,HB 7740,Relating To State Affairs And Government- Corrections Department,"An Act Relating To State Affairs And Government-- Corrections Department (Directs The Department Of Corrections To Collect Information From Individuals Entering Its Custody: Sex, Race, Nativity (Country Of Origin), Religion, And Level Of Education.)"
197,HB 7746,Relating To State Affairs And Government – Historian Laureate Of,"An Act Relating To State Affairs And Government -- Historian Laureate Of Rhode Island (Reduces The Appoint The Historian Laureate From A Five (5) Year Term To A Three (3) Year Term, And Requires The Historian Laureate To Develop And Implement Programs About Pertinent Aspects Of Rhode Island History.)"
198,HB 7774,"Relating To Corporations, Associations, And Partnerships - Rhode","An Act Relating To Corporations, Associations, And Partnerships -- Rhode Island Business Corporation Act (Makes Numerous Technical Amendments To The Statutes On Taxes And Corporations, Associations And Partnerships.)"
199,HB 7813,Relating To Taxation – Property Subject To Taxation,"An Act Relating To Taxation -- Property Subject To Taxation (Allows The Host City Or Town To Impose A Two Percent (2%) Tax On The Endowment Of A Private Institution Of Higher Education, To Be Used Only For The Host'S Public School District.)"
200,HB 7818,Relating To Public Officers And Employees – Code Of Ethics,"An Act Relating To Public Officers And Employees -- Code Of Ethics (Requires A Public Official Or Employee To Disclose Any And All Unsatisfied Default Judgments Of Credit Card Debt, In Excess Of One Thousand Dollars ($1,000) On Their Financial Statement.)"
201,HB 7824,Relating To Motor And Other Vehicles - Registration Of Vehicles,"An Act Relating To Motor And Other Vehicles -- Registration Of Vehicles (Authorizes The Administration Of The Division Of Motor Vehicles To Make Available, To Purple Heart Medal Recipients, Up To Two (2) Sets Of Special Registration Plates.)"
202,HB 7887,Relating To Criminal Procedure – Sentence And Execution,An Act Relating To Criminal Procedure -- Sentence And Execution (Requires The Setting Of Bail For Defendants Coming Before The Court As Alleged Probation Violators.)
203,HB 7893,Relating To Property – Residential Landlord And Tenant Act,An Act Relating To Property -- Residential Landlord And Tenant Act (Requires Landlords To Complete The Landlord Portion Of An Application For Federal Emergency Rental Assistance Before Starting An Action For Eviction Against A Residential Tenant For Nonpayment Of Rent.)
204,HB 7906,Relating To Labor And Labor Relations -- Fair Employment Practices,"An Act Relating To Labor And Labor  Relations -- Fair Employment Practices (Prohibits An Employer, Employment Agency, Labor Organization, Or Employee From Directly Or Indirectly Committing Any Act Declared To Be An Unlawful Employment Practice Or The Employee Or Employer May Be Held Personally Liable.)"
205,HB 7917,Relating To State Affairs And Government – Rhode Island,An Act Relating To State Affairs And Government -- Rhode Island Information Privacy Act (Allows An Individual To Access And Learn What Personal Information About The Individual Has Been Gathered And Stored By Covered Entities That Conduct Business In Rhode Island.)
206,HB 7939,Relating To Alcoholic Beverages -- Regulation Of Sales -- State,"An Act Relating To Motor And Other Vehicles -- Operators' License -- Safe Roads And Mandatory Insurance (Allows The Division Of Motor Vehicles To Issue Driving Privilege Cards And Driving Privilege Permits, To Applicants Unable To Establish Their Lawful Presence In The United States.)"
207,HB 7940,Relating To State Affairs And Government – Executive Office Of,An Act Relating To State Affairs And Government -- Executive Office Of Commerce (Provides That The Deputy Secretary Of Commerce And Housing Become The Secretary Of Housing And Retains All The Powers And Duties Of The Deputy Secretary Of Commerce And Housing.)
208,HB 7941,Relating To Towns And Cities – Low And Moderate Income Housing,An Act Relating To Towns And Cities -- Low And Moderate Income Housing (Permits Multi-Family Rental Apartment Units To Be Built As Part Of A Comprehensive Plan And To Be Included In The Calculation Of Low Or Moderate Income Housing.)
209,HB 7945,Relating To Towns And Cities – Low And Moderate Income Housing,"An Act Relating To Towns And Cities -- Low And Moderate Income Housing (Amends The Composition Of The State Housing Appeals Board By Adding One Member From The Center For Justice And One Member Direct Action For Rights And Equality, As Well As Two (2) Alternates Selected By The Governor.)"
210,HB 7958,Relating To Motor And Other Vehicles -- Operators’ And Chauffeurs’,An Act Relating To Motor And Other Vehicles -- Operators' And Chauffeurs' Licenses (Authorizes Driver Education Schools To Offer The Driver Training Curriculum In An Instructor-Led Virtual Format.)
211,HB 7992,Relating To Taxation - Levy And Assessment Of Local Taxes,"An Act Relating To Taxation -- Levy And Assessment Of Local Taxes (Allows The Town Council Of New Shoreham To Adopt A Tax Classification Plan In Accordance With The Provisions Of This Section, To Be Applicable To Taxes On Or After The Assessment Date Of December 31, 2022.)"
212,HB 8027,Relating To Public Utilities And Carriers – Public Utilities Commission,An Act Relating To Public Utilities And Carriers -- Public Utilities Commission (Requires The Puc To Establish A Performance-Based Incentive Plan That Allows Coordinated Efforts Between Each Electric Distribution Company And Gas Company Based On The Level Of Its Success In Reducing Greenhouse Gas Emissions.)
213,HB 8053,Relating To Health And Safety – Harm Reduction Center Advisory,"An Act Relating To Health And Safety -- Harm Reduction Center Advisory Committee And Pilot Program (Extends The Expiration Date Of The Harm Reduction Center Advisory Committee And Pilot Program By Two Years, From March 1, 2024, To March 1, 2026.)"
214,HB 8054,Relating To Health And Safety - Emergency Medical Transportation,An Act Relating To Health And Safety -- Emergency Medical Transportation Services (Amends The Composition Of The Ambulance Service Coordinating Advisory Board By Calling For Recommendations From Various Societies.)
215,HB 8077,Relating To Human Services - Certification Of Childcare And Youth-,An Act Relating To Human Services -- Certification Of Childcare And Youth-Serving Workers And Operators (Relieves Persons Seeking Employment In The Childcare Field From Paying The Cost Of The Required Bci Check.)
216,HB 8134,Relating To Capital Development Program-- 2022 Bond Referenda,"An Act Relating To Capital Development Program -- 2022 Bond Referenda (Submit The State'S 2022 Capital Development Program Requesting The Issuance Of General Obligation Bonds Totaling $28,500,000 For Approval Of The Electorate At The General Election To Be Held On November 8, 2022.)"
217,HB 8146,Relating To Public Utilities And Carriers - Residential Solar Energy,An Act Relating To Public Utilities And Carriers -- Residential Solar Energy Disclosure And Homeowners Bill Of Rights Act (Provides Solar Energy System Consumers With Consumer Protection Regarding Disclosures Cancellation And Liens.)
218,HB 8159,Relating To Labor And Labor Relations - Payment Of Wages,"An Act Relating To Labor And Labor Relations -- Payment Of Wages (Provides For Contractor Liability For Debts Owed To An Employer Or Third Party On The Wage Claimants Behalf, Incurred By A Subcontractor.)"
219,HB 8228,Authorizing The State To Enter Into A Financing Agreement Relating,"An Act An Act Authorizing The City Of Pawtucket To Issue Not To Exceed $330,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Acquisition, Construction, Improvement, Furnishing And Equipping Of A New High School And School Facilities And All Expenses Incident Thereto, Including But Not Limited To, Costs Of Design, Demolition, Athletic Fields, Landscaping And Parking, Subject To Approval Of State Housing Aid At A Reimbursement Rate Or State Share Ratio Of Not Less Than 83.7% For Expenditures Eligible For State Aid And Provided That The Authorization Shall Be Reduced By Any Grant Received From The School Building Authority Capital Fund (Authorizes The City Of Pawtucket To Issue Not More Than $330,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Acquisition, Construction, Improvement, Furnishing And Equipping Of A New High School.)"
220,HB 8234,"Authorizing The City Of Pawtucket To Provide For The Construction,","An Act Authorizing The City Of Pawtucket To Provide For The  Construction, Renovation And Improvement, Repair, Alteration, Furnishing And Equipping Of Public Buildings In The City And Authorizing The Financing Thereof, Including The Issue Of Not  More Than $18,350,000 Bonds, Notes And Other Evidences Of  Indebtedness Therefor, To Fund The Capital Improvement  Program For The Two Fiscal Years 2024 And 2025 (Authorizes The City Of Pawtucket To Issue Not More Than $18,350,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Construction, Renovation, Improvement, Repair, Alteration, Furnishing And Equipping Of Public Buildings.)"
221,HB 8284,Relating To Public Officers And Employees -- Retirement System --,"An Act Relating To Health And Safety -- Registration Of Nursing Home Patients (Due To The Covid-19 Health Crisis, Suspends The Provisions Of § 36-10-36 Relating To Reemployment Of Retired Sheriffs And Employees Of The Department Of Health And The Provisions Of  § 23-17.5-33, Relating To Monetary Penalties, With Sunset Provisions.)"
